"id","myco","stress","time","NH4_N","NO3_N","NO2_N","AP","DOC","Cd","pH","soil_moi","soil_tem","Pn","Tr","GS","CI","WUE","Tr_ratio","env_tem_ave","env_moi_ave","cycle","cycle_length","new_time"
1,"AM","0",1,24.248,55.429,0.259,45.667,NA,NA,6.3,38,14.67,9.123,3.284,0.595,15.335,2.752,372.968,21.2,43.5,1,30,1
25,"AM","0",2,21.243,52.592,0.108,NA,NA,NA,7.03,41,14.33,9.747,3.272,0.595,16.377,2.967,339.115,18.6,36.5,1,30,2
49,"AM","0",3,10.1,72.866,0.209,41.833,NA,NA,7.23,18.67,23.67,11.4,1.44,0.51,18.67,6.7,112.28,22.7,40,1,30,3
73,"AM","0",4,3.911,94.875,0.159,NA,NA,NA,7.03,9.67,18,10.58,1.03,0.6,17.73,10.52,255.22,22.35,39.5,1,30,4
97,"AM","0",5,1.239,61.905,0.191,40.167,NA,NA,6.43,27,21.33,9.5,2.607,0.597,15.947,3.48,372.203,21.25,56.5,1,30,5
121,"AM","0",6,0.326,63.761,0.135,NA,NA,NA,7.27,23.33,16.33,7.877,2.46,0.6,13.203,3.08,274.587,20.25,29.5,1,30,6
145,"AM","0",7,0.025,68.914,0.202,43.333,NA,NA,6.93,51.33,22,11.873,2.157,0.593,19.967,5.913,195.663,21.9,41,1,30,7
169,"AM","0",8,23.038,48.805,0.295,NA,NA,NA,7,30.33,19,9.493,2.087,0.6,15.913,4.96,350.48,20.65,44,1,30,8
193,"AM","0",9,24.123,11.063,0.132,44.167,NA,NA,6.83,26,25,5.697,0.758,0.595,9.571,23.678,124.818,23.05,47,1,30,9
217,"AM","0",10,25.333,8.668,0.224,NA,NA,NA,7.5,27.67,22,7.736,1.214,0.595,13,6.428,156.81,24.8,57,1,30,10
241,"AM","0",11,23.33,28.637,0.197,43.833,NA,NA,6.57,48,26,5.445,1.192,0.595,9.15,6.434,226.454,20.65,38.5,1,30,11
265,"AM","0",12,22.495,17.427,0.248,NA,NA,NA,6.73,53.67,20,4.767,3.45,0.6,8.02,1.45,924.767,19.8,74.5,1,30,12
289,"AM","0",13,22.03581436,10.72400423,0.147315433,32,NA,NA,6.5,72.33,24,6.91,1.14,0.51,11.617,5.623,141.887,18.85,42.5,1,30,13
313,"AM","0",14,23.121,12.922,0.073,NA,NA,NA,6.6,60,17,5.97,1.017,0.537,9.99,6.243,150.55,17.5,33.5,1,30,14
337,"AM","0",15,18.822,7.542,0.486,NA,NA,NA,7.23,28.67,19.67,5.957,2.15,0.593,10,2.707,322.973,22.25,46.5,1,30,15
361,"AM","0",16,21.159,9.864,0.216,NA,NA,NA,6.67,48.33,22.33,14.67,4.813,0.597,24.627,2.75,269.603,25.45,50.5,1,30,16
385,"AM","0",17,9.096,15.632,0.135,31.333,NA,NA,6.77,36,25,11.293,1.85,0.597,18.943,6.18,152.183,22.35,55,1,30,17
