"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,0,0.3,1,0.607645178975753,0.759335661285751,2,0.626697130631291
1,0,0.3,0.610540229658533,0.50072129848402,0.6514462214724,2.93617021276596,0.707977264565779
1,0,0.3,0.372759372031494,0.421314013981859,0.566756866752749,3.06382978723404,0.763626231392078
1,0,0.3,0.227584592607479,0.370259644690947,0.504595205761049,3.08510638297872,0.796002311159201
1,0,0.3,0.138949549437314,0.340174585300436,0.464117242066147,3.17021276595745,0.813674288867009
1,0,0.3,0.0848342898244071,0.323693202058861,0.438767754237359,3.25531914893617,0.822919011039249
1,0,0.3,0.0517947467923121,0.318321689634422,0.43418480386144,3.25531914893617,0.8257134476581
1,0,0.3,0.0316227766016838,0.339280979041435,0.456658910289311,4.53191489361702,0.813188271767205
1,0,0.3,0.0193069772888325,0.354355083275777,0.479466952277199,5.80851063829787,0.804652957112364
1,0,0.3,0.0117876863479359,0.353596361338429,0.486604375763609,5.97872340425532,0.805597061746875
1,0,0.3,0.00719685673001152,0.351177508211784,0.486341213293303,6,0.807453111019685
1,0,0.3,0.00439397056076079,0.350301577077645,0.487161828281859,6,0.808333239159665
1,0,0.3,0.00268269579527972,0.350171041058556,0.48813676846134,6,0.808697715207404
1,0,0.3,0.00163789370695406,0.350325741283344,0.488984964880346,6,0.808817488229304
1,0,0.3,0.000999999999999999,0.350530725517416,0.489599896490483,6,0.808842648390302
1,0.005,0.3,1,0.607803702395512,0.759629338192386,2,0.626587075218721
1,0.005,0.3,0.610540229658533,0.500829428416683,0.651613805889878,2.93617021276596,0.707881804811038
1,0.005,0.3,0.372759372031494,0.421343173619401,0.566864753723422,3.06382978723404,0.763595394739543
1,0.005,0.3,0.227584592607479,0.370234274671742,0.504661035896668,3.08510638297872,0.796015549048171
1,0.005,0.3,0.138949549437314,0.34005975992029,0.464095774740077,3.17021276595745,0.813746272823625
1,0.005,0.3,0.0848342898244071,0.323553713266921,0.438711378604521,3.25531914893617,0.823005003746745
1,0.005,0.3,0.0517947467923121,0.318060589068464,0.433956864860542,3.25531914893617,0.825872195289247
1,0.005,0.3,0.0316227766016838,0.338974878615399,0.456402326584056,4.51063829787234,0.813370859297412
1,0.005,0.3,0.0193069772888325,0.354040308900702,0.479273276186568,5.80851063829787,0.80483857824721
1,0.005,0.3,0.0117876863479359,0.353296042014342,0.486600117035056,5.97872340425532,0.80577224615674
1,0.005,0.3,0.00719685673001152,0.35087120965885,0.486338710702686,6,0.807631052870386
1,0.005,0.3,0.00439397056076079,0.349999571304778,0.487174046824125,6,0.80850862097477
1,0.005,0.3,0.00268269579527972,0.349870213788871,0.488146612918362,6,0.808872250470307
1,0.005,0.3,0.00163789370695406,0.350021828312603,0.488984954929971,6,0.808993815119399
1,0.005,0.3,0.000999999999999999,0.350229745644864,0.489603437903458,6,0.809017231595296
1,0.01,0.3,1,0.607962278692394,0.759923646814124,2,0.626477299803605
1,0.01,0.3,0.610540229658533,0.500938543669531,0.651773438548712,2.93617021276596,0.70778593672592
1,0.01,0.3,0.372759372031494,0.421378759722531,0.566979905869383,3.06382978723404,0.763560300201119
1,0.01,0.3,0.227584592607479,0.37022455855978,0.504742865497945,3.08510638297872,0.79601928733133
1,0.01,0.3,0.138949549437314,0.339935347545902,0.464065275650539,3.17021276595745,0.813824114889751
1,0.01,0.3,0.0848342898244071,0.323414977162313,0.438652641154169,3.25531914893617,0.823090550934056
1,0.01,0.3,0.0517947467923121,0.317797110751157,0.433723980822847,3.23404255319149,0.826032482003343
1,0.01,0.3,0.0316227766016838,0.338669108226258,0.456146027826704,4.51063829787234,0.813553219186204
1,0.01,0.3,0.0193069772888325,0.353761550994996,0.479130462537484,5.80851063829787,0.805003636310947
1,0.01,0.3,0.0117876863479359,0.352995074227136,0.48659643195169,6,0.805947904649912
1,0.01,0.3,0.00719685673001152,0.35058491515433,0.486413819850326,6,0.807797027328132
1,0.01,0.3,0.00439397056076079,0.349696906537137,0.487187616117822,6,0.808684117173761
1,0.01,0.3,0.00268269579527972,0.349569815976171,0.488157706108144,6,0.809046354020344
1,0.01,0.3,0.00163789370695406,0.349725454983343,0.48899290362083,6,0.809165504671725
1,0.01,0.3,0.000999999999999999,0.349931138679199,0.489611006577841,6,0.809190576061985
1,0.05,0.3,1,0.609255245749166,0.762292283325319,2,0.625591216303969
1,0.05,0.3,0.610540229658533,0.501828700700106,0.653134391893888,2.93617021276596,0.707010513231225
1,0.05,0.3,0.372759372031494,0.421642410668713,0.567862446581588,3.04255319148936,0.763294569453794
1,0.05,0.3,0.227584592607479,0.37004635519915,0.505294701065199,3.08510638297872,0.796110539914171
1,0.05,0.3,0.138949549437314,0.339041304993526,0.463923604495675,3.17021276595745,0.8143860276847
1,0.05,0.3,0.0848342898244071,0.322326896514435,0.438198270003363,3.25531914893617,0.823762040450245
1,0.05,0.3,0.0517947467923121,0.31585477134746,0.432081437808579,3.21276595744681,0.827212613684285
1,0.05,0.3,0.0316227766016838,0.336237718701194,0.454129846175678,4.42553191489362,0.815004533417423
1,0.05,0.3,0.0193069772888325,0.351179231372008,0.477575029078448,5.78723404255319,0.806524946116262
1,0.05,0.3,0.0117876863479359,0.350533065299665,0.486158241233564,5.95744680851064,0.807384250272526
1,0.05,0.3,0.00719685673001152,0.348176058865748,0.486443199458856,6,0.809196205331859
1,0.05,0.3,0.00439397056076079,0.347312794660717,0.487340532845096,6,0.810066091516415
1,0.05,0.3,0.00268269579527972,0.347193746947679,0.488285915923836,6,0.810423790032628
1,0.05,0.3,0.00163789370695406,0.347356064098695,0.489095398472541,6,0.810539959337396
1,0.05,0.3,0.000999999999999999,0.347580107630975,0.489708331759128,6,0.810555379795009
1,0.1,0.3,1,0.610903558764535,0.765286689979361,2,0.624484999041131
1,0.1,0.3,0.610540229658533,0.503029372373061,0.654906910499674,2.93617021276596,0.705986578531733
1,0.1,0.3,0.372759372031494,0.422039563847295,0.569021014681999,3.04255319148936,0.762917272805607
1,0.1,0.3,0.227584592607479,0.3698515323437,0.506023408031196,3.08510638297872,0.796209196023882
1,0.1,0.3,0.138949549437314,0.337997395344891,0.463832756075049,3.19148936170213,0.815042530181756
1,0.1,0.3,0.0848342898244071,0.320986104553402,0.437715052874042,3.27659574468085,0.824588618922338
1,0.1,0.3,0.0517947467923121,0.314275179148723,0.430679913323417,3.14893617021277,0.82817026065755
1,0.1,0.3,0.0316227766016838,0.333343196784431,0.451761908433024,4.40425531914894,0.816729681327999
1,0.1,0.3,0.0193069772888325,0.347722414876849,0.475273709740942,5.72340425531915,0.808560046734096
1,0.1,0.3,0.0117876863479359,0.34742818901837,0.485326494411062,5.95744680851064,0.80919662649711
1,0.1,0.3,0.00719685673001152,0.345225215214369,0.486587622155963,6,0.810908558146079
1,0.1,0.3,0.00439397056076079,0.344360426307523,0.487490540506871,6,0.811776225919262
1,0.1,0.3,0.00268269579527972,0.344246417255038,0.488387663072115,6,0.812130228766819
1,0.1,0.3,0.00163789370695406,0.344436494978855,0.489180880086988,6,0.812231262721347
1,0.1,0.3,0.000999999999999999,0.344672025536542,0.489762770813684,6,0.812241009065186
1,0.25,0.3,1,0.615631126449566,0.774066873900548,1.95744680851064,0.621480371653364
1,0.25,0.3,0.610540229658533,0.506251597325884,0.660612358939793,2.51063829787234,0.703276395370398
1,0.25,0.3,0.372759372031494,0.422900564092215,0.572095418353538,3.06382978723404,0.762087378869262
1,0.25,0.3,0.227584592607479,0.368858713474807,0.507895510571858,3.1063829787234,0.79683715937891
1,0.25,0.3,0.138949549437314,0.335256519896951,0.464026400733708,3.23404255319149,0.816774107401527
1,0.25,0.3,0.0848342898244071,0.317070136027244,0.43694787683451,3.17021276595745,0.82700967366344
1,0.25,0.3,0.0517947467923121,0.30971844488343,0.426888562763297,3.06382978723404,0.830934044268313
1,0.25,0.3,0.0316227766016838,0.324669086911552,0.4452003664885,4.36170212765957,0.821900769001885
1,0.25,0.3,0.0193069772888325,0.337346825963974,0.46815351879552,5.4468085106383,0.814663603010661
1,0.25,0.3,0.0117876863479359,0.338786984479412,0.48355429218827,5.91489361702128,0.814246094008163
1,0.25,0.3,0.00719685673001152,0.337221691294344,0.488400969885973,6,0.815559082325851
1,0.25,0.3,0.00439397056076079,0.336311541859858,0.489099054043801,6,0.816444613739051
1,0.25,0.3,0.00268269579527972,0.336237433797533,0.489864371186884,6,0.816775847372609
1,0.25,0.3,0.00163789370695406,0.336488333461313,0.490561924676528,6,0.816845160011806
1,0.25,0.3,0.000999999999999999,0.336783687826787,0.491100807600895,6,0.816824169948869
1,0.5,0.3,1,0.602269063787747,0.760891216587493,1,0.632317266354104
1,0.5,0.3,0.610540229658533,0.513478257732442,0.672239599062061,2.25531914893617,0.697652904245973
1,0.5,0.3,0.372759372031494,0.424404930329541,0.576665347403417,2.80851063829787,0.760751306031443
1,0.5,0.3,0.227584592607479,0.36666291959947,0.509879437156856,3.02127659574468,0.798366752444196
1,0.5,0.3,0.138949549437314,0.331077780708346,0.465011923944185,2.95744680851064,0.8195488168207
1,0.5,0.3,0.0848342898244071,0.312342323211579,0.436544077877934,3,0.830033321058045
1,0.5,0.3,0.0517947467923121,0.303639179816597,0.422777575883194,2.80851063829787,0.834652507962034
1,0.5,0.3,0.0316227766016838,0.311679646971989,0.436914050170017,3.80851063829787,0.829662292001395
1,0.5,0.3,0.0193069772888325,0.322382285874631,0.457754100097734,5.34042553191489,0.823506635769278
1,0.5,0.3,0.0117876863479359,0.32369984976302,0.475885415277678,5.68085106382979,0.823074285749076
1,0.5,0.3,0.00719685673001152,0.324280848240719,0.487322941829527,5.93617021276596,0.823096225936834
1,0.5,0.3,0.00439397056076079,0.324718107270936,0.493818633121379,6,0.823179512139612
1,0.5,0.3,0.00268269579527972,0.324691993749814,0.494276351066515,6,0.823480987784593
1,0.5,0.3,0.00163789370695406,0.325067305775436,0.494807607380868,6,0.823483508393436
1,0.5,0.3,0.000999999999999999,0.325482362652497,0.495234218668351,6,0.823400421764685
1,0.75,0.3,1,0.584802937995541,0.747593070142383,1,0.645868203828404
1,0.75,0.3,0.610540229658533,0.523742645047692,0.687197657383862,2.04255319148936,0.690094819577452
1,0.75,0.3,0.372759372031494,0.427364024077602,0.581911448552002,2.70212765957447,0.758521621723226
1,0.75,0.3,0.227584592607479,0.365319644871837,0.511874186676412,2.87234042553191,0.799464921605234
1,0.75,0.3,0.138949549437314,0.3272388855473,0.465401964934915,3,0.822335328505712
